GNPS_annotation	Curated_GNPS_Annotation	Inchi_whole string	SMILES_canonical	Structural_Class	Structural_Subclass	Structural_Subclass2	Source_GFOP	Source	Source_Sub1	Source_Sub2	Drug_Info_1	Drug_Info_2	Bioactivity_boolean	Bioactivity_Known	Origin_Known	Sample_Type_Detected_In_Food	Sample_Type_Detected_In_HumanFeces	Project_Vital_Foodomics	Project_Vital_AGP1	Comment	Reference
11-Oxoandrosterone	11-Oxoandrosterone	InChI=1S/C19H28O3/c1-18-8-7-12(20)9-11(18)3-4-13-14-5-6-16(22)19(14,2)10-15(21)17(13)18/h11-14,17,20H,3-10H2,1-2H3/t11-,12+,13-,14-,17+,18-,19-/m0/s1	CC12CCC(CC1CCC3C2C(=O)CC4(C3CCC4=O)C)O	lipid	steroid		human	human	human metabolite	human metabolite											https://pubchem.ncbi.nlm.nih.gov/compound/102029
2,5,7,8-Tetramethyl-2-(.beta.-carboxyethyl)-6-hydroxychroman	2,5,7,8-Tetramethyl-2-(beta-carboxyethyl)-6-hydroxychroman			other	tocopherol	vitamin metabolite	human	human	human metabolite											tocopherol metabolite	
Taurocholic Acid	Taurocholic acid	InChI=1S/C26H45NO7S/c1-15(4-7-23(31)27-10-11-35(32,33)34)18-5-6-19-24-20(14-22(30)26(18,19)3)25(2)9-8-17(28)12-16(25)13-21(24)29/h15-22,24,28-30H,4-14H2,1-3H3,(H,27,31)(H,32,33,34)/t15-,16+,17-,18-,19+,20+,21-,22+,24+,25+,26-/m1/s1	CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	lipid	bile acid	primary conjugated bile acid	human	human	human metabolite	human metabolite lipid											
Taurocholic Acid Sulfate	Taurocholic acid 3-sulfate	InChI=1S/C26H45NO10S2/c1-15(4-7-23(30)27-10-11-38(31,32)33)18-5-6-19-24-20(14-22(29)26(18,19)3)25(2)9-8-17(37-39(34,35)36)12-16(25)13-21(24)28/h15-22,24,28-29H,4-14H2,1-3H3,(H,27,30)(H,31,32,33)(H,34,35,36)/t15-,16+,17-,18-,19+,20+,21-,22+,24+,25+,26-/m1/s1	CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)OS(=O)(=O)O)C)O)O)C	lipid	bile acid	primary conjugated bile acid	human	human	human metabolite	human metabolite lipid											https://pubchem.ncbi.nlm.nih.gov/compound/14454428
Massbank:EA282110 Amitriptyline|3-(10,11-Dihydro-5H-dibenzo[a,d][7]annulen-5-ylidene)-N,N-dimethyl-1-propanamine	Amitriptyline	InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard		yes	pharmaceutical	internal standard	yes	yes	yes	yes	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/2160
Spectral Match to Amitriptyline from NIST14	Amitriptyline	InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard		yes	pharmaceutical	internal standard	yes	yes	yes	yes	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/2160
Spectral Match to Sulfachloropyridazine from NIST14	Sulfachloropyridazine	InChI=1S/C10H9ClN4O2S/c11-9-5-6-10(14-13-9)15-18(16,17)8-3-1-7(12)2-4-8/h1-6H,12H2,(H,14,15)	C1=CC(=CC=C1N)S(=O)(=O)NC2=NN=C(C=C2)Cl	drug	drug	internal standard AGP	internal standard	internal standard	internal standard	internal standard	internal standard	internal standard			internal standard	yes	yes	yes	yes	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/sulfachlorpyridazine#section=Top
Sulfachloropyridazine	Sulfachloropyridazine	InChI=1S/C10H9ClN4O2S/c11-9-5-6-10(14-13-9)15-18(16,17)8-3-1-7(12)2-4-8/h1-6H,12H2,(H,14,15)	C1=CC(=CC=C1N)S(=O)(=O)NC2=NN=C(C=C2)Cl	drug	drug	internal standard AGP	internal standard	internal standard	internal standard	internal standard	internal standard	internal standard			internal standard	yes	yes	yes	yes	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/sulfachlorpyridazine#section=Pharmacology-and-Biochemistry
Spectral Match to Sulfamethizole from NIST14	Sulfamethizole	InChI=1S/C9H10N4O2S2/c1-6-11-12-9(16-6)13-17(14,15)8-4-2-7(10)3-5-8/h2-5H,10H2,1H3,(H,12,13)	CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N	drug	drug	internal standard AGP	internal standard	internal standard	internal standard	internal standard	internal standard	internal standard			internal standard	yes	yes	yes	yes	internal standard used in some projects	https://www.drugbank.ca/drugs/DB00576
Sulfamethizole	Sulfamethizole	InChI=1S/C9H10N4O2S2/c1-6-11-12-9(16-6)13-17(14,15)8-4-2-7(10)3-5-8/h2-5H,10H2,1H3,(H,12,13)	CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N	drug	drug	internal standard AGP	internal standard	internal standard	internal standard	internal standard	internal standard	internal standard			internal standard	yes	yes	yes	yes	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/5328#section=Top
Amitriptyline	Amitriptyline	InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/11065#section=Top
Amitriptyline HCl	Amitriptyline	InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/11065#section=Top
Massbank:EA282104 Amitriptyline|3-(10,11-Dihydro-5H-dibenzo[a,d][7]annulen-5-ylidene)-N,N-dimethyl-1-propanamine	Amitriptyline	InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/11065#section=Top
Massbank:EA282105 Amitriptyline|3-(10,11-Dihydro-5H-dibenzo[a,d][7]annulen-5-ylidene)-N,N-dimethyl-1-propanamine	Amitriptyline	InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/11065#section=Top
Massbank:FIO00474 Amitryptiline        	Amitryptiline	InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/11065#section=Top
Massbank:FIO00475 Amitryptiline	Amitryptiline	InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/11065#section=Top
Fluconazole	Fluconazole	InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O				antimicrobial	internal standard	internal standard	internal standard	internal standard		yes	pharmaceutical		yes	no	yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/3365
Spectral Match to Fluconazole from NIST14	Fluconazole	InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O				antimicrobial	internal standard	internal standard	internal standard	internal standard		yes	pharmaceutical		yes	no	yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/3365
Spectral Match to Sulfadimethoxine from NIST14	Sulfadimethoxine	InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)	COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/sulfadimethoxine#section=Top
Sulfadimethoxine	Sulfadimethoxine	InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)	COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/sulfadimethoxine#section=Top
Massbank:EA018104 Sulfamethazine|4-amino-N-(4,6-dimethylpyrimidin-2-yl)benzenesulfonamide|4-amino-N-(4,6-dimethyl-2-pyrimidinyl)benzenesulfonamide	Sulfamethazine	InChI=1S/C12H14N4O2S/c1-8-7-9(2)15-12(14-8)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)	CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	
Massbank:EA018110 Sulfamethazine|4-amino-N-(4,6-dimethylpyrimidin-2-yl)benzenesulfonamide|4-amino-N-(4,6-dimethyl-2-pyrimidinyl)benzenesulfonamide	Sulfamethazine	InChI=1S/C12H14N4O2S/c1-8-7-9(2)15-12(14-8)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)	CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	
Massbank:UF409901 Sulfamethazine|Sulfadimidin|4-amino-N-(4,6-dimethyl-2-pyrimidinyl)benzenesulfonamide	Sulfamethazine	InChI=1S/C12H14N4O2S/c1-8-7-9(2)15-12(14-8)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)	CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	
Spectral Match to Sulfamethazine from NIST14	Sulfamethazine	InChI=1S/C12H14N4O2S/c1-8-7-9(2)15-12(14-8)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)	CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	
Sulfamethazine	Sulfamethazine	InChI=1S/C12H14N4O2S/c1-8-7-9(2)15-12(14-8)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)	CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	
Massbank:FIO00476 Amitryptiline	Amitryptiline	InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard							no	no		
MassbankEU:SM850301 Sulfamethazine|4-amino-N-(4,6-dimethylpyrimidin-2-yl)benzenesulfonamide	Sulfamethazine			drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard						no	no		
Massbank:EA282106 Amitriptyline|3-(10,11-Dihydro-5H-dibenzo[a,d][7]annulen-5-ylidene)-N,N-dimethyl-1-propanamine	Amitriptyline	InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/11065#section=Top
Massbank:EA282103 Amitriptyline|3-(10,11-Dihydro-5H-dibenzo[a,d][7]annulen-5-ylidene)-N,N-dimethyl-1-propanamine	Amitriptyline	InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/11065#section=Top
Massbank:EA282109 Amitriptyline|3-(10,11-Dihydro-5H-dibenzo[a,d][7]annulen-5-ylidene)-N,N-dimethyl-1-propanamine	Amitriptyline	InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/11065#section=Top
Massbank:EA282114 Amitriptyline|3-(10,11-Dihydro-5H-dibenzo[a,d][7]annulen-5-ylidene)-N,N-dimethyl-1-propanamine	Amitriptyline	InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/11065#section=Top
Amitryptiline	Amitriptyline	InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/11065#section=Top
Caffeine-d3	Caffeine-d3			drug	drug	internal standard AGP	internal standard	internal standard	internal standard	internal standard	internal standard	internal standard			internal standard	no	no	no	no	internal standard used in some projects	
Massbank:EA032803 Fluconazole|2-(2,4-difluorophenyl)-1,3-bis(1,2,4-triazol-1-yl)-2-propanol	Fluconazole	InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O	drug	drug		antimicrobial	internal standard	internal standard	internal standard	internal standard		yes	pharmaceutical		yes	no	yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/3365
MassbankEU:SM859801 fluconazole|2-(2,4-difluorophenyl)-1,3-bis(1,2,4-triazol-1-yl)propan-2-ol	Fluconazole	InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O	drug	drug		antimicrobial	internal standard	internal standard	internal standard	internal standard		yes	pharmaceutical		yes	no	yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/3365
Massbank:EA032809 Fluconazole|2-(2,4-difluorophenyl)-1,3-bis(1,2,4-triazol-1-yl)-2-propanol	Fluconazole	InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O	drug	drug		antimicrobial	internal standard	internal standard	internal standard	internal standard		yes	pharmaceutical		yes	no	yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/3365
Massbank:EA032810 Fluconazole|2-(2,4-difluorophenyl)-1,3-bis(1,2,4-triazol-1-yl)-2-propanol	Fluconazole	InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O	drug	drug		antimicrobial	internal standard	internal standard	internal standard	internal standard		yes	pharmaceutical		yes	no	yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/3365
0574_fluconazole	Fluconazole	InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O	drug	drug		antimicrobial	internal standard	internal standard	internal standard	internal standard		yes	pharmaceutical		yes	no	yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/3365
MoNA:3567 Sulfachloropyridazine	Sulfachloropyridazine	InChI=1S/C10H9ClN4O2S/c11-9-5-6-10(14-13-9)15-18(16,17)8-3-1-7(12)2-4-8/h1-6H,12H2,(H,14,15)	C1=CC(=CC=C1N)S(=O)(=O)NC2=NN=C(C=C2)Cl	drug	drug	internal standard AGP	internal standard	internal standard	internal standard	internal standard	internal standard	internal standard			internal standard	yes	yes	yes	yes	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/sulfachlorpyridazine#section=Pharmacology-and-Biochemistry
2560_Sulfadimethoxine	Sulfadimethoxine	InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)	COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/sulfadimethoxine#section=Top
Massbank:EA018310 Sulfadimethoxine|4-amino-N-(2,6-dimethoxy-4-pyrimidinyl)benzenesulfonamide	Sulfadimethoxine	InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)	COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/sulfadimethoxine#section=Top
Sulphadimethoxine	Sulfadimethoxine	InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)	COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/sulfadimethoxine#section=Top
Massbank:EA018301 Sulfadimethoxine|4-amino-N-(2,6-dimethoxy-4-pyrimidinyl)benzenesulfonamide	Sulfadimethoxine	InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)	COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/sulfadimethoxine#section=Top
Massbank:EA018314 Sulfadimethoxine|4-amino-N-(2,6-dimethoxy-4-pyrimidinyl)benzenesulfonamide	Sulfadimethoxine	InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)	COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/sulfadimethoxine#section=Top
Massbank:EA018303 Sulfadimethoxine|4-amino-N-(2,6-dimethoxy-4-pyrimidinyl)benzenesulfonamide	Sulfadimethoxine	InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)	COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/sulfadimethoxine#section=Top
Massbank:EA018309 Sulfadimethoxine|4-amino-N-(2,6-dimethoxy-4-pyrimidinyl)benzenesulfonamide	Sulfadimethoxine	InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)	COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/sulfadimethoxine#section=Top
Massbank: Sulfadimethoxine	Sulfadimethoxine	InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)	COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/sulfadimethoxine#section=Top
Massbank:EA018304 Sulfadimethoxine|4-amino-N-(2,6-dimethoxy-4-pyrimidinyl)benzenesulfonamide	Sulfadimethoxine	InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)	COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC	drug	drug		internal standard	internal standard	internal standard	internal standard	internal standard	internal standard				yes		yes	no	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/sulfadimethoxine#section=Top
MoNA:3376 Sulphamethizole	Sulfamethizole	InChI=1S/C9H10N4O2S2/c1-6-11-12-9(16-6)13-17(14,15)8-4-2-7(10)3-5-8/h2-5H,10H2,1H3,(H,12,13)	CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N	drug	drug	internal standard AGP	internal standard	internal standard	internal standard	internal standard	internal standard	internal standard			internal standard	yes	yes	yes	yes	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/5328#section=Top
Sulfamethizole (Proklar)	Sulfamethizole	InChI=1S/C9H10N4O2S2/c1-6-11-12-9(16-6)13-17(14,15)8-4-2-7(10)3-5-8/h2-5H,10H2,1H3,(H,12,13)	CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N	drug	drug	internal standard AGP	internal standard	internal standard	internal standard	internal standard	internal standard	internal standard			internal standard	yes	yes	yes	yes	internal standard used in some projects	https://pubchem.ncbi.nlm.nih.gov/compound/5328#section=Top
(2.beta.,3.alpha.,5.alpha.,16.beta.,17.beta.)-2-(4-Morpholinyl)-16-(1-pyrrolidinyl)androstane-3,17-diol	(2,3,5,16,17)-2-(4-Morpholinyl)-16-(1-pyrrolidinyl)androstane-3,17-diol	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited				yes	yes	yes	yes		
MLS000876958-01!2-(3,4-dimethoxyphenyl)-5-hydroxy-3,6,7,8-tetramethoxychromen-4-one	2-(3,4-dimethoxyphenyl)-5-hydroxy-3,6,7,8-tetramethoxychromen-4-one	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited				yes	yes	yes	yes	literature limited	literature limited
(.+/-.)-2-Methylarachidonoyl-2'-fluoroethylamide	2-Methylarachidonoyl-2'-fluoroethylamide	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited				yes	yes	yes	yes	analog of anandamide	literature limited
(1S,2R,1'S)-1-[(1'-methylbenzyl)amino]-2-methylcyclopropanecarbonitrile	(1,2,1')-1-[(1'-methylbenzyl)amino]-2-methylcyclopropanecarbonitrile	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited				yes		yes	no	literature limited	literature limited
(1R,4R,6S)-5-Isopropylidene-4-[(S)-2-(4-methoxybenzyloxy)-1-methylethyl]-3-oxabicyclo-[4.1.0]heptane	(1,4,6)-5-Isopropylidene-4-[2-(4-methoxybenzyloxy)-1-methylethyl]-3-oxabicyclo-[4.1.0]heptane	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited				yes		yes	no	literature limited	literature limited
